"canonical_title","aliases","creator_or_studio_network"
"October's Children","October's Children | October's Children Trailer - October's Children | October's Children a New England Paranormal Horror / Mystery","Jacob Mandell & Derrick Valen in collaboration with ArcanaCast"
"Knifepoint Horror","Knifepoint Horror","SpectreVision Radio / SpectreVision"
"The Cryptonaturalist","The Cryptonaturalist","Jarod K. Anderson / Jarod Anderson / The CryptoNaturalist"
"Ghost Wax","Ghost Wax","Far and Tall Tales / Spreaker"
"The Grey Rooms","The Grey Rooms","The Grey Rooms Productions / The Grey Rooms Podcast / Spreaker"
"TANIS","TANIS","Public Radio Alliance / TANIS"
"The Patron Saint of Suicides","The Patron Saint of Suicides","Alex Dolan | Realm / Alex Dolan"
"Uncanny Valley","Uncanny Valley | Uncanny Valley | DWM Presents","DWM | Realm / Dayton Writers Movement / DWM Presents"
"The Hyacinth Disaster","The Hyacinth Disaster","David Carlson / The Hyacinth Disaster"
"The Edge of Sleep","The Edge of Sleep","QCODE & Wood Elf / QCODE Media"
"The Left Right Game","The Left Right Game","QCODE / QCODE Media"
"Hello From The Hallowoods","Hello From The Hallowoods","William A. Wellman / HFTH Podcast"
"The Polybius Conspiracy","The Polybius Conspiracy","Jon Frechette, Todd Luoto / Flight 305 Media, LLC / Jon Frechette & Todd Luoto"
"The NoSleep Podcast","The NoSleep Podcast | The NoSleep Podcast - For the dark hours when you dare not close your eyes. Brace yourself…","Creative Reason Media Inc. / The NoSleep Podcast"
"The Orphans","The Orphans","The Light and Tragic Company / The Light & Tragic Company / Realms of Peril & Glory"
"Modes of Thought in Anterran Literature","Modes of Thought in Anterran Literature","Wolf at the Door / Wolf At The Door Studios"
"The Truth","The Truth | The Truth Podcast","The Truth"
"Give Me Away","Give Me Away","Gideon Media"
"The Far Meridian","The Far Meridian","The Whisperforge"
"The Leviathan Chronicles","The Leviathan Chronicles","Leviathan Audio Productions"
"Bridgewater","Bridgewater","iHeartPodcasts and Grim & Mild / Grim & Mild"
"The Last Movie","The Last Movie","Public Radio Alliance"
"The Magnus Archives","The Magnus Archives","Jonathan Sims / Rusty Quill"
"The Magnus Protocol","The Magnus Protocol | The Magnus Protocol Transcripts - Rusty Quill | The Magnus Protocol - Rusty Quill","Jonathan Sims and Alexander J Newall / Jonathan Sims / Alexander J Newall / Rusty Quill"
"The Rapscallion Agency","The Rapscallion Agency","Christof Laputka / Human-B-Gon / Leviathan Audio Productions"
"The Invenios Expeditions","The Invenios Expeditions","Christof Laputka / Leviathan Audio Productions"
"Sandra","Sandra","Gimlet"
"The Walk","The Walk","Panoply / Naomi Alderman / Six To Start / Panoply"
"SCP Archives","SCP Archives","Bloody FM / Pacific Obadiah"
"Blackout","Blackout","QCODE & Endeavor Content / QCODE Media"
"Carrier","Carrier","QCODE"
"The Horror of Dolores Roach","The Horror of Dolores Roach","Gimlet"
"World Gone Wrong: a fictional chat show about friendship at the end of the world","World Gone Wrong: a fictional chat show about friendship at the end of the world","Audacious Machine Creative / ART19"
"The Phone Booth","The Phone Booth","The Fool's Gallery"
"The Cipher","The Cipher","BBC Sounds / BBC"
"Stellar Firma","Stellar Firma | Stellar Firma Transcripts - Rusty Quill | Stellar Firma - Rusty Quill","Rusty Quill / Park Tom"
"The Big Loop","The Big Loop","Paul Bae / The Big Loop"
"Marvel's Wolverine: The Long Night","Marvel's Wolverine: The Long Night","Marvel & Realm"
"The Orbiting Human Circus","The Orbiting Human Circus | The Orbiting Human Circus: About | WNYC Studios | Podcasts | The Orbiting Human Circus: Episodes | WNYC Studios | Podcasts","WNYC Studios and Night Vale Presents / WNYC Studios"
"The Angel of Vine","The Angel of Vine | The Angel of Vine: A Fictional Podcast","Vox Populi / The Angel of Vine: A Fictional Podcast"
"Blood Ties","Blood Ties","Audible"
"Within the Wires","Within the Wires","Night Vale Presents"
"Motherhacker","Motherhacker","Gimlet / Spotify"
"Marvel's Wolverine: The Lost Trail","Marvel's Wolverine: The Lost Trail","Marvel | Realm / Marvel & Realm"
"The Two Princes","The Two Princes","Spotify Studios / Spotify"
"Rabbits","Rabbits","Public Radio Alliance / RABBITS"
"LifeAfter/The Message","LifeAfter/The Message","GE Podcast Theater / Panoply / The Message"
"Our Fair City","Our Fair City","Audacious Machine Creative / Jeffrey Gardner / ART19"
"Darkest Night","Darkest Night","The Paragon Collective"
"Campfire Radio Theater","Campfire Radio Theater","Haunted Air Audio"
"The Dead Letters Podcast","The Dead Letters Podcast","deadletterspodcast"
"the Dead Letter Office of Somewhere, Ohio","the Dead Letter Office of Somewhere, Ohio","Rat Grimes / horror podcasts set in the midwest"
"The Godfrey Audio Guide","The Godfrey Audio Guide","Nicole Knudsen / The Godfrey Audio Guide"
"Don't Mind","Don't Mind","Fool and Scholar Productions / Fool & Scholar Productions : Podcasts"
"The Subjective Truth","The Subjective Truth","Jeremy Ellett / Good Pointe"
"Two Flat Earthers Kidnap a Freemason","Two Flat Earthers Kidnap a Freemason","Jeremy Ellett / Good Pointe"
"The Dragoning","The Dragoning","Messenger Theatre Company"
"The Love Talker","The Love Talker","Alien Ghost Robot / Celebrity Tumour / ART19"
"The Viridian Wild","The Viridian Wild","Always in My Head Productions"
"The Land Whale Murders","The Land Whale Murders","Roi Gold Productions"
"The Way We Haunt Now","The Way We Haunt Now","Courtney Floyd"
"The Liminal Lands","The Liminal Lands","Waymon Alexander"
"The Tower","The Tower | The Tower | Tin Can Audio","Tin Can Audio"
"The Thieves Guild","The Thieves Guild","Jake Kerr / Podcast Alchemy"
"Artifacts of the Arcane","Artifacts of the Arcane","Jake Kerr / Podcast Alchemy"
"The Liberty Podcast","The Liberty Podcast","Fool and Scholar Productions"
"Edict Zero - FIS","Edict Zero - FIS | Edict Zero FIS episodes","Slipgate Nine Entertainment"
"Attention HellMart Shoppers!","Attention HellMart Shoppers!","Harmless Entertainment"
"The Elmwood Strain","The Elmwood Strain","Violet Hour Media / The Violet Hour"
"The Awkward Screw","The Awkward Screw","The Awkward Screw / theawkwardscrew"
"The Rats Under Eden: An Audio Drama Musical","The Rats Under Eden: An Audio Drama Musical","The Mayor of Eden City"
"The Other Stories | Sci-Fi, Horror, Thriller, WTF Stories","The Other Stories | Sci-Fi, Horror, Thriller, WTF Stories","Hawk & Cleaver / Luke Kondor"
"The Great Chameleon War","The Great Chameleon War","Justin Hellstrom / The Great Chameleon War"
"The Hidden People","The Hidden People | The Hidden People - Season 1 Teaser","DWM | Realm / Dayton Writers Movement / Spreaker"
"Dark Woods","Dark Woods","Endeavor Content"
"Wake up, New Vilirth!","Wake up, New Vilirth!","Wake up, New Vilirth!"
"The Next 5 Minutes","The Next 5 Minutes","Ear Candy Media | Echidna Audio | Spineless Wonders / Ian Walker"
"Hannahpocalypse","Hannahpocalypse","Red Fathom Entertainment / ART19"
"Tales From Wolf Mountain","Tales From Wolf Mountain","Wolf Mountain Workshop / Buzzsprout"
"Iowa Chapman and The Last Dog","Iowa Chapman and The Last Dog","GZM Shows / ART19"
"Blackwood","Blackwood","Scary Fun / ART19"
"Anticrastination","Anticrastination","W. Keith Tims"
"How to Win Friends and Disappear People","How to Win Friends and Disappear People","QCODE / QCODE Media"
"Unkillable","Unkillable","Patrick McLean | Scribl / Scribl"
"HORROR ETERNAL","HORROR ETERNAL","Spiral Opus Audio"
"The Hatred | A Supernatural Thriller Miniseries","The Hatred | A Supernatural Thriller Miniseries","Madhouse Radio"
"Out of Place","Out of Place","Midnight Disease Productions LLC"
"Coexistence","Coexistence","Coex Studios"
"Liminal","Liminal | Liminal | Acorn Arts and Entertainment","Acorn Arts and Entertainment / Acorn A&E"
"Petrified","Petrified | Petrified Official: Instagram | Linktree","Liam Geraghty / Peter Dunne / The Linktree Team / Liam Geraghty / Linktree"
"The Nebulous Saga","The Nebulous Saga | The Nebulous Saga – The audio fiction adaptation of the thrilling space fantasy!","Jane Maree / Magnus Carlssen"
"Badlands Cola","Badlands Cola | Badlands Cola | A Strange Audio Drama","Renee Taylor Klint / Badlands Cola"
"DUST","DUST | DUST - YouTube","Gunpowder & Sky / Så fungerar YouTube"
"Sorry About The Murder","Sorry About The Murder","TA2 Productions / Sorry About The Murder"
"From Within: A Tale of the Macabre","From Within: A Tale of the Macabre","Superhappy Productions"
"Dreamboy","Dreamboy","Night Vale Presents"
"Crooked River","Crooked River","Heywood / Dave Beazley & Casey Wells / DAVE BEAZLEY"
"36 Questions","36 Questions","Two-Up Productions"
"Mission to Zyxx","Mission to Zyxx","Maximum Fun"
"Hello From the Magic Tavern","Hello From the Magic Tavern","Arnie Niekamp"
"The Thrilling Adventure Hour","The Thrilling Adventure Hour","Ben Acker & Ben Blacker"
"The Red Panda Adventures","The Red Panda Adventures","Decoder Ring Theatre"
"Second Shift","Second Shift","Blue Sky Red Design"
"The Radio Adventures of Dr. Floyd","The Radio Adventures of Dr. Floyd","Grant Baciocco & Doug Price"
"Steal the Stars","Steal the Stars","Gideon Media"
"The Archers","The Archers","BBC"
"Bronzeville","Bronzeville","Cinema Gypsy Productions"
"The Unexplainable Disappearance of Mars Patel","The Unexplainable Disappearance of Mars Patel","Gen-Z Media"
"Batman Unburied","Batman Unburied","Spotify / Warner Bros. / DC"
"Black Jack Justice","Black Jack Justice","Decoder Ring Theatre"
"Wormwood: A Serialized Mystery","Wormwood: A Serialized Mystery","Habit Forming Films"
"How to Succeed in Evil","How to Succeed in Evil","Patrick E. McLean"
"The Cleansed","The Cleansed","FinalRune Productions"
"19 Nocturne Boulevard","19 Nocturne Boulevard","Julie Hoverson"
"The Bunker","The Bunker","Definitely Human"
"MarsCorp","MarsCorp","Definitely Human"
"The Monster Hunters","The Monster Hunters","Definitely Human"
"Down","Down","Definitely Human"
"The Kingery","The Kingery","Pendant Productions / Pendant Audio"
"Genesis Avalon","Genesis Avalon","Pendant Audio"
"Seminar","Seminar","Pendant Productions / Pendant Audio"
"Dreamnasium","Dreamnasium","Pendant Audio"
"Almelem","Almelem","Gideon Media"
"Ask Your Father","Ask Your Father","Gideon Media"
"The Earth Moves","The Earth Moves","Gideon Media"
"God of Obsidian","God of Obsidian","Gideon Media"
"Witness","Witness","Gideon Media / Audible"
"See You in Your Nightmares","See You in Your Nightmares","Audible"
"It Makes a Sound","It Makes a Sound","Night Vale Presents"
"Adventures in New America","Adventures in New America","Night Vale Presents"
"Unlicensed","Unlicensed","Night Vale Presents / Audible"
"Arden","Arden","Wheyface Radio"
"A Scottish Podcast","A Scottish Podcast","Jester's Baffies Productions / Matthew McLean"
"I Am in Eskew","I Am in Eskew","Muna Hussen and Jon Ware"
"Kakos Industries","Kakos Industries","Conrad Miszuk"
"Palimpsest","Palimpsest","Jamieson Ridenhour & Hayley Heninger / Palimpsest Productions"
"Kalila Stormfire's Economical Magick Services","Kalila Stormfire's Economical Magick Services","Lisette Alvarez"
"VALENCE","VALENCE","Hug House Productions"
"Unseen","Unseen","Long Story Short Productions"
"Zero Hours","Zero Hours","Long Story Short Productions"
"Time:Bombs","Time:Bombs","Long Story Short Productions"
"The Earth Collective","The Earth Collective","Michael Troup"
"SAYER","SAYER","Adam Bash"
"Ostium Podcast","Ostium Podcast","Alex C. Telander / Ostium Network"
"Apollyon","Apollyon","Observer Pictures"
"Among the Stars and Bones","Among the Stars and Bones","Chris Magilton"
"Life With Althaar","Life With Althaar","Gemini CollisionWorks"
"Relativity","Relativity","Lee Shackleford"
"Directive","Directive","David Magadan"
"Exoplanetary","Exoplanetary","C. Christopher Hart"
"The Vesta Clinic","The Vesta Clinic","Eva Thanheiser"
"This Planet Needs a Name","This Planet Needs a Name","Evan Tess Murray"
"Second Star to the Left","Second Star to the Left","Passer Vulpes Productions"
"Civilized","Civilized","Civilized Communication"
"ROGUEMAKER","ROGUEMAKER","Courier's Call Productions"
"The Green Horizon","The Green Horizon","Paul Walsh"
"The Beacon","The Beacon","Claudia Elvidge"
"What Will Be Here?","What Will Be Here?","Tal Minear"
"Sidequesting","Sidequesting","Tal Minear"
"Counterbalance","Counterbalance","Blighthouse Studio"
"Inn Between","Inn Between","The Goblin’s Head / Hannah Wright"
"Absolutely No Adventures","Absolutely No Adventures","AudioOhm Media"
"The Call of the Flame","The Call of the Flame","Magnir Productions"
"Dark Ages","Dark Ages",""
"Carcerem","Carcerem","Shane Salk Productions"
"Desperado","Desperado","Samy Souissi / Aeaea"
"Monstrous Agonies","Monstrous Agonies","H.R. Owen"
"Love and Luck","Love and Luck","Passer Vulpes Productions"
"Find Us Alive","Find Us Alive","Aurore BlackCat"
"Camlann","Camlann","Tin Can Audio"
"The Grotto","The Grotto","Athena Lee"
"Soul Operator","Soul Operator","Totally Normal Entertainment / Rat Grimes"
"Hymns for the Road","Hymns for the Road","Pine Tree Podcasts"
"The Attic Monologues","The Attic Monologues","TAM Podcast"
"Someone Dies in This Elevator","Someone Dies in This Elevator","Tal Minear"
"Starfall","Starfall","Wizzard Wizzard Productions"
"Omen","Omen","Tim Krause"
"DASH","DASH",""
"The Stench of Adventure","The Stench of Adventure","Strong Branch Productions"
"Electromancy","Electromancy","Nathan Comstock"
"Aurora Everlasting","Aurora Everlasting","M.G. Rook"
"Dispatch from the Desert Planet","Dispatch from the Desert Planet",""
"Less Is Morgue","Less Is Morgue","The Praeps Collective"
"Station Arcadia","Station Arcadia","Metal Steve Productions"
"Achewillow","Achewillow","Amy Frost & J.F. Dubeau"
"Light House","Light House","iHeartPodcasts"
"Folxlore","Folxlore","Tin Can Audio / In The Works"
"Cybernautica","Cybernautica","Strange Exiles"
"Constants","Constants","Sean Heyboer"
"Vega: A Sci-Fi Adventure Podcast!","Vega: A Sci-Fi Adventure Podcast!","Ivuoma Hall"
"McGillicuddy and Murder's Pawn Shop","McGillicuddy and Murder's Pawn Shop","Minerva Sweeney Wren"
"On a Dark, Cold Night","On a Dark, Cold Night","Kristen Zaza"
"FETIDUS","FETIDUS","James Durham"
"Hubris: A 24-Hour Podcast Project","Hubris: A 24-Hour Podcast Project","Hubris Podcast"
"Ad Lucem","Ad Lucem","QCODE"
"Bad Vibes","Bad Vibes","QCODE"
"Beautiful Liar","Beautiful Liar","QCODE"
"Bloodthirsty Hearts","Bloodthirsty Hearts","QCODE"
"Classified","Classified","QCODE"
"Cupid","Cupid","QCODE"
"Dirty Diana","Dirty Diana","QCODE"
"Edith!","Edith!","QCODE / Crooked Media"
"Electric Easy","Electric Easy","QCODE"
"Gaslight","Gaslight","QCODE"
"Ghost Tape","Ghost Tape","QCODE"
"Last Known Position","Last Known Position","QCODE"
"Listening In","Listening In","QCODE"
"Narcissa","Narcissa","QCODE"
"Ronstadt","Ronstadt","QCODE"
"Soft Voice","Soft Voice","QCODE"
"The Foxes of Hydesville","The Foxes of Hydesville","QCODE"
"The Lower Bottoms","The Lower Bottoms","QCODE"
"The Prophecy","The Prophecy","QCODE"
"Unwanted","Unwanted","QCODE"
"Hank the Cowdog","Hank the Cowdog","QCODE"
"Black Box","Black Box","QCODE"
"1865","1865","Airship / Wondery"
"Terms","Terms","Wondery"
"Exeter","Exeter","Sundance Now"
"Hunted","Hunted","Endeavor Audio"
"Deadly Manners","Deadly Manners","The Paragon Collective"
"13 Days of Halloween","13 Days of Halloween","Grim & Mild / iHeartPodcasts"
"Aftershock","Aftershock","iHeartPodcasts"
"Consumed","Consumed","Grim & Mild / iHeartPodcasts"
"Mordeo","Mordeo","Blumhouse Television / iHeartPodcasts"
"The Mantawauk Caves","The Mantawauk Caves","iHeartPodcasts"
"Strawberry Spring","Strawberry Spring","iHeartPodcasts"
"Tomorrow's Monsters","Tomorrow's Monsters","iHeartPodcasts"
"Quiet Part Loud","Quiet Part Loud","Gimlet / Monkeypaw Productions"
"Red Frontier","Red Frontier","Gimlet"
"Treat","Treat","C13Features"
"Ghostwriter","Ghostwriter","C13Features"
"Academy","Academy","AT WILL MEDIA / Wondery"
"Murder in HR","Murder in HR","Caspian Studios"
"Moriarty: The Devil's Game","Moriarty: The Devil's Game","Treefort Media / Audible"
"Moriarty: The Silent Order","Moriarty: The Silent Order","Treefort Media / Audible"
"Hot White Heist","Hot White Heist","Audible"
"The Coldest Case: The Past Has a Long Memory","The Coldest Case: The Past Has a Long Memory","Audible"
"Third Eye","Third Eye","Audible"
"Anthem: Homunculus","Anthem: Homunculus","Luminary"
"Shipworm","Shipworm","Two-Up"
"The Big Lie","The Big Lie","Fresh Produce Media / Audible"
"You Feeling This?","You Feeling This?","Overtones Media / iHeartRadio"
"Moonface","Moonface","James Kim"
"The Riddler: Secrets in the Dark","The Riddler: Secrets in the Dark","Spotify / Warner Bros. / DC"
"Harley Quinn and The Joker: Sound Mind","Harley Quinn and The Joker: Sound Mind","Spotify / Warner Bros. / DC"
"Batman: The Audio Adventures","Batman: The Audio Adventures","HBO Max / Warner Bros. / DC"
"DC High Volume: Batman","DC High Volume: Batman","DC Comics / Realm"
"Marvel's Wastelanders","Marvel's Wastelanders","Marvel / SiriusXM"
"Marvel's Squirrel Girl: The Unbeatable Radio Show!","Marvel's Squirrel Girl: The Unbeatable Radio Show!","Marvel / SiriusXM"
"Marvels","Marvels","Marvel / Stitcher"
"Sonic the Hedgehog Presents: The Chaotix Casefiles","Sonic the Hedgehog Presents: The Chaotix Casefiles","SEGA / Realm"
"Orphan Black: The Next Chapter","Orphan Black: The Next Chapter","Realm"
"Echo Park","Echo Park","Realm"
"Spark Hunter","Spark Hunter","Realm"
"Marigold Breach","Marigold Breach","Realm"
"Power Trip","Power Trip","Realm"
"Overleaper","Overleaper","Realm"
"If I Go Missing the Witches Did It","If I Go Missing the Witches Did It","Realm"
"Roanoke Falls","Roanoke Falls","Realm"
"Memory Lane","Memory Lane","Realm"
"Elixir","Elixir","Realm"
"Blood & Gold","Blood & Gold","Realm"
"Undertow","Undertow","Realm"
"The Oyster","The Oyster","The Paragon Collective / Luminary"
"Tracks","Tracks","BBC Radio 4 / BBC"
"Murmurs","Murmurs","BBC"
"Doctor Who: Redacted","Doctor Who: Redacted","BBC Sounds / BBC"
"Lusus","Lusus","BBC"
"The Piper","The Piper","BBC"
"Harland","Harland","BBC"
"Who Is Aldrich Kemp?","Who Is Aldrich Kemp?","BBC"
"Aldrich Kemp and the Rose of Pamir","Aldrich Kemp and the Rose of Pamir","BBC"
"Body Horror","Body Horror","BBC"
"Children of the Stones","Children of the Stones","BBC"
"The System","The System","BBC"
"Dead Hand","Dead Hand","BBC"
"People Who Knew Me","People Who Knew Me","BBC / Merman"
"Limelight","Limelight","BBC"
"The Fitzroy Diaries","The Fitzroy Diaries","ABC Radio National / ABC"
"CrossBread","CrossBread","ABC"
"The Beef and Dairy Network Podcast","The Beef and Dairy Network Podcast","Maximum Fun"
"Valley Heat","Valley Heat","Starburns Audio"
"The Neighborhood Listen","The Neighborhood Listen","CBB World"
"Big Grande Teachers' Lounge","Big Grande Teachers' Lounge","Big Grande"
"A Very Fatal Murder","A Very Fatal Murder","The Onion"
"This Sounds Serious","This Sounds Serious","Kelly & Kelly"
