canonical_title,aliases,creator_or_studio_network
"Station Blue","Station Blue","Ester Ellis"
"The Strata","The Strata | The Strata Podcast","Mark R. Healy | The Strata Podcast"
"The Call of the Void","The Call of the Void | The Call of the Void | Acorn Arts & Entertainment","Acorn Arts and Entertainment | Acorn A&E"
"The Burned Photo","The Burned Photo","QCODE | QCODE Media"
"A Voice From Darkness","A Voice From Darkness","Jac Rhys"
"The Sheridan Tapes","The Sheridan Tapes","Homestead on the Corner | Realm | Homestead on the Corner"
"The Mistholme Museum of Mystery, Morbidity, and Mortality","The Mistholme Museum of Mystery, Morbidity, and Mortality | The Mistholme Museum of Mystery, Morbidity, and Mortality — That's Not Canon Productions","Dominic Guilfoyle | That's Not Canon Productions"
"The Town Whispers","The Town Whispers","Cole Weavers | Patreon"
"The Cellar Letters","The Cellar Letters","Jamie Petronis"
"WOE.BEGONE","WOE.BEGONE","WOE.BEGONE Industries LLC | WOE.BEGONE"
"The Milkman of St. Gaff's","The Milkman of St. Gaff's","Christopher Scott McClure | Patreon"
"Where the Stars Fell","Where the Stars Fell","Caldera Studios | Where The Stars Fell"
"The Pasithea Powder","The Pasithea Powder | The Pasithea Powder (@pasitheapowder.bsky.social)","Bad Wine Productions | Bluesky Social"
"The Antique Shop","The Antique Shop","Ghostly Thistle"
"Re: Dracula","Re: Dracula","Bloody FM | Re: Dracula"
"The Imperfection","The Imperfection","Wolf at the Door Studios, Alexander Kemp | Wolf at the Door Studios"
"Fawx & Stallion","Fawx & Stallion","Rambling Absurdities | Fawx and Stallion"
"Mayfair Watchers Society","Mayfair Watchers Society","Bloody FM"
"Wrong Station","Wrong Station","The Wrong Station"
"Not Quite Dead","Not Quite Dead | Not Quite Dead Transcripts","Eira Major's Hanging Sloth | Hanging Sloth"
"Hi Nay","Hi Nay","Motzie Dapul"
"Super Suits","Super Suits | Super Suits | Faustian Nonsense","Faustian Nonsense"
"Wake Of Corrosion","Wake Of Corrosion","Shadow & Static Productions"
"The Secret of St Kilda","The Secret of St Kilda","Michael Ireland & Naomi Clarke | The Secret of St Kilda"
"Death by Dying","Death by Dying | Death By Dying Podcast","Evening Post Productions | Death By Dying Podcast"
"The Wyrd Side","The Wyrd Side","Alexandra M. Barrow and Finn Cresswell"
"Syntax","Syntax | Syntax Podcast","Twin Strangers Productions | Syntax Podcast"
"The Night Post","The Night Post","Station 103"
"Observable Radio","Observable Radio","Observable Radio | Cameron Suey"
"October's Children","October's Children | October's Children Trailer - October's Children | October's Children a New England Paranormal Horror / Mystery","Jacob Mandell & Derrick Valen in collaboration with ArcanaCast"
"Knifepoint Horror","Knifepoint Horror","SpectreVision Radio | SpectreVision"
"The Cryptonaturalist","The Cryptonaturalist","Jarod K. Anderson | Jarod Anderson | The CryptoNaturalist"
"Ghost Wax","Ghost Wax","Far and Tall Tales | Spreaker"
"The Grey Rooms","The Grey Rooms","The Grey Rooms Productions | Spreaker"
"TANIS","TANIS","Public Radio Alliance | TANIS"
"The Patron Saint of Suicides","The Patron Saint of Suicides","Alex Dolan | Realm"
"Uncanny Valley","Uncanny Valley | Uncanny Valley | DWM Presents","DWM | Realm | DWM Presents"
"The Hyacinth Disaster","The Hyacinth Disaster","David Carlson | The Hyacinth Disaster"
"The Edge of Sleep","The Edge of Sleep","QCODE & Wood Elf | QCODE Media"
"The Left Right Game","The Left Right Game","QCODE | QCODE Media"
"Hello From The Hallowoods","Hello From The Hallowoods","William A. Wellman | HFTH Podcast"
"The Polybius Conspiracy","The Polybius Conspiracy","Jon Frechette, Todd Luoto | Jon Frechette & Todd Luoto"
"The NoSleep Podcast","The NoSleep Podcast | The NoSleep Podcast - For the dark hours when you dare not close your eyes. Brace yourself…","Creative Reason Media Inc. | The NoSleep Podcast"
"The Orphans","The Orphans","The Light and Tragic Company | Realms of Peril & Glory"
"Modes of Thought in Anterran Literature","Modes of Thought in Anterran Literature","Wolf at the Door | Wolf at the Door Studios"
"The Truth","The Truth | The Truth Podcast","The Truth"
"Give Me Away","Give Me Away","Gideon Media"
"The Far Meridian","The Far Meridian","The Whisperforge"
"The Leviathan Chronicles","The Leviathan Chronicles","Leviathan Audio Productions"
"Bridgewater","Bridgewater","iHeartPodcasts and Grim & Mild | Grim & Mild"
"The Last Movie","The Last Movie","Public Radio Alliance"
"The Magnus Archives","The Magnus Archives","Jonathan Sims | Rusty Quill"
"The Magnus Protocol","The Magnus Protocol | The Magnus Protocol Transcripts - Rusty Quill | The Magnus Protocol - Rusty Quill","Jonathan Sims and Alexander J Newall | Jonathan Sims | Alexander J Newall | Rusty Quill"
"The Rapscallion Agency","The Rapscallion Agency","Christof Laputka | Leviathan Audio Productions"
"The Invenios Expeditions","The Invenios Expeditions","Christof Laputka | Leviathan Audio Productions"
"Sandra","Sandra","Gimlet"
"The Walk","The Walk","Panoply / Naomi Alderman / Six To Start"
"SCP Archives","SCP Archives","Bloody FM"
"Blackout","Blackout","QCODE & Endeavor Content | QCODE Media"
"Carrier","Carrier","QCODE"
"The Horror of Dolores Roach","The Horror of Dolores Roach","Gimlet"
"World Gone Wrong: a fictional chat show about friendship at the end of the world","World Gone Wrong: a fictional chat show about friendship at the end of the world","Audacious Machine Creative | ART19"
"The Phone Booth","The Phone Booth","The Fool's Gallery"
"The Cipher","The Cipher","BBC Sounds | BBC"
"Stellar Firma","Stellar Firma | Stellar Firma Transcripts - Rusty Quill | Stellar Firma - Rusty Quill","Rusty Quill"
"The Big Loop","The Big Loop","Paul Bae | The Big Loop"
"Marvel's Wolverine: The Long Night","Marvel's Wolverine: The Long Night","Marvel & Realm"
"The Orbiting Human Circus","The Orbiting Human Circus | The Orbiting Human Circus: About | WNYC Studios | Podcasts | The Orbiting Human Circus: Episodes | WNYC Studios | Podcasts","WNYC Studios and Night Vale Presents | WNYC Studios"
"The Angel of Vine","The Angel of Vine | The Angel of Vine: A Fictional Podcast","Vox Populi | The Angel of Vine: A Fictional Podcast"
"Blood Ties","Blood Ties","Audible"
"Within the Wires","Within the Wires","Night Vale Presents"
"Motherhacker","Motherhacker","Gimlet | Spotify"
"Marvel's Wolverine: The Lost Trail","Marvel's Wolverine: The Lost Trail","Marvel | Realm"
"The Two Princes","The Two Princes","Spotify Studios | Spotify"
"Rabbits","Rabbits","Public Radio Alliance | RABBITS"
"LifeAfter/The Message","LifeAfter/The Message","GE Podcast Theater / Panoply / The Message"
"Our Fair City","Our Fair City","Audacious Machine Creative | ART19"
"Darkest Night","Darkest Night","The Paragon Collective"
"Campfire Radio Theater","Campfire Radio Theater","Haunted Air Audio"
"The Dead Letters Podcast","The Dead Letters Podcast","deadletterspodcast"
"the Dead Letter Office of Somewhere, Ohio","the Dead Letter Office of Somewhere, Ohio","Rat Grimes | horror podcasts set in the midwest"
"The Godfrey Audio Guide","The Godfrey Audio Guide","Nicole Knudsen | The Godfrey Audio Guide"
"Don't Mind","Don't Mind","Fool and Scholar Productions | Fool & Scholar Productions : Podcasts"
"The Subjective Truth","The Subjective Truth","Jeremy Ellett | Good Pointe"
"Two Flat Earthers Kidnap a Freemason","Two Flat Earthers Kidnap a Freemason","Jeremy Ellett | Good Pointe"
"The Dragoning","The Dragoning","Messenger Theatre Company"
"The Love Talker","The Love Talker","Alien Ghost Robot / Celebrity Tumour | ART19"
"The Viridian Wild","The Viridian Wild","Always in My Head Productions"
"The Land Whale Murders","The Land Whale Murders","Roi Gold Productions"
"The Way We Haunt Now","The Way We Haunt Now","Courtney Floyd"
"The Liminal Lands","The Liminal Lands","Waymon Alexander"
"The Tower","The Tower | The Tower | Tin Can Audio","Tin Can Audio"
"The Thieves Guild","The Thieves Guild","Jake Kerr"
"Artifacts of the Arcane","Artifacts of the Arcane","Jake Kerr"
"The Liberty Podcast","The Liberty Podcast","Fool and Scholar Productions"
"Edict Zero - FIS","Edict Zero - FIS | Edict Zero FIS episodes","Slipgate Nine Entertainment"
"Attention HellMart Shoppers!","Attention HellMart Shoppers!","Harmless Entertainment"
"The Elmwood Strain","The Elmwood Strain","Violet Hour Media"
"The Awkward Screw","The Awkward Screw","The Awkward Screw"
"The Rats Under Eden: An Audio Drama Musical","The Rats Under Eden: An Audio Drama Musical","The Mayor of Eden City"
"The Other Stories | Sci-Fi, Horror, Thriller, WTF Stories","The Other Stories | Sci-Fi, Horror, Thriller, WTF Stories","Hawk & Cleaver"
"The Great Chameleon War","The Great Chameleon War","Justin Hellstrom | The Great Chameleon War"
"The Hidden People","The Hidden People | The Hidden People - Season 1 Teaser","DWM | Realm | Spreaker"
"Dark Woods","Dark Woods","Endeavor Content"
"Wake up, New Vilirth!","Wake up, New Vilirth!","Wake up, New Vilirth!"
"The Next 5 Minutes","The Next 5 Minutes","Ear Candy Media | Echidna Audio | Spineless Wonders"
"Hannahpocalypse","Hannahpocalypse","Red Fathom Entertainment | ART19"
"Tales From Wolf Mountain","Tales From Wolf Mountain","Wolf Mountain Workshop | Buzzsprout"
"Iowa Chapman and The Last Dog","Iowa Chapman and The Last Dog","GZM Shows | ART19"
"Blackwood","Blackwood","Scary Fun | ART19"
"Anticrastination","Anticrastination","W. Keith Tims"
"How to Win Friends and Disappear People","How to Win Friends and Disappear People","QCODE | QCODE Media"
"Unkillable","Unkillable","Patrick McLean | Scribl | Scribl"
"HORROR ETERNAL","HORROR ETERNAL","Spiral Opus Audio"
"The Hatred | A Supernatural Thriller Miniseries","The Hatred | A Supernatural Thriller Miniseries","Madhouse Radio"
"Out of Place","Out of Place","Midnight Disease Productions LLC"
"Coexistence","Coexistence","Coex Studios"
"Liminal","Liminal | Liminal | Acorn Arts and Entertainment","Acorn Arts and Entertainment | Acorn A&E"
"Petrified","Petrified | Petrified Official: Instagram | Linktree","Liam Geraghty / Peter Dunne | The Linktree Team | Linktree"
"The Nebulous Saga","The Nebulous Saga | The Nebulous Saga – The audio fiction adaptation of the thrilling space fantasy!","Jane Maree"
"Badlands Cola","Badlands Cola | Badlands Cola | A Strange Audio Drama","Renee Taylor Klint | Badlands Cola"
"DUST","DUST | DUST - YouTube","Gunpowder & Sky | Så fungerar YouTube"
"Sorry About The Murder","Sorry About The Murder","TA2 Productions | Sorry About The Murder"
"From Within: A Tale of the Macabre","From Within: A Tale of the Macabre","Superhappy Productions"
"Dreamboy","Dreamboy","Night Vale Presents"
"Crooked River","Crooked River","Heywood | DAVE BEAZLEY"
